,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 30, 2023",760.46,762.27,754.13,756.55,756.55,"164,164,200"
1,"May 26, 2023",761.29,765.94,758.95,764.84,764.84,"147,625,000"
2,"May 25, 2023",762.06,764.78,756.94,762.16,762.16,"165,712,800"
3,"May 24, 2023",773.43,773.68,767.33,768.05,768.05,"128,804,700"
4,"May 23, 2023",776.58,776.58,771.93,773.06,773.06,"137,650,500"
5,"May 22, 2023",789.80,789.80,777.94,778.59,778.59,"134,853,500"
6,"May 19, 2023",791.76,792.19,786.98,790.19,790.19,"133,463,700"
7,"May 18, 2023",790.71,792.12,785.15,790.14,790.14,"142,190,900"
8,"May 17, 2023",796.10,796.53,788.96,793.66,793.66,"134,992,700"
9,"May 16, 2023",798.98,799.71,793.23,794.47,794.47,"121,077,400"
10,"May 15, 2023",805.67,805.92,798.11,801.49,801.49,"107,382,700"
11,"May 12, 2023",800.86,803.90,799.70,803.68,803.68,"106,434,800"
12,"May 11, 2023",798.79,801.15,793.75,800.82,800.82,"107,415,600"
13,"May 10, 2023",800.58,803.21,792.70,798.32,798.32,"127,019,500"
14,"May 09, 2023",801.05,801.97,797.97,799.50,799.50,"116,585,500"
15,"May 08, 2023",802.17,802.68,799.02,801.94,801.94,"130,652,100"
16,"May 05, 2023",797.12,804.55,796.91,803.74,803.74,"120,456,200"
17,"May 04, 2023",800.28,800.41,794.00,796.63,796.63,"137,327,000"
18,"May 03, 2023",803.14,805.81,798.65,798.98,798.98,"172,357,900"
19,"May 02, 2023",807.00,807.40,797.12,805.32,805.32,"144,457,300"
20,"May 01, 2023",806.85,811.16,805.74,807.92,807.92,"118,634,200"
21,"Apr 28, 2023",804.52,808.53,803.61,807.20,807.20,"163,299,200"
22,"Apr 27, 2023",794.14,803.88,794.14,803.31,803.31,"131,760,100"
23,"Apr 26, 2023",796.85,800.22,794.40,795.05,795.05,"116,318,000"
24,"Apr 25, 2023",802.96,807.19,800.19,800.94,800.94,"132,248,000"
25,"Apr 24, 2023",799.89,802.51,799.47,801.87,801.87,"110,262,900"
26,"Apr 21, 2023",799.42,802.85,796.93,798.68,798.68,"139,722,000"
27,"Apr 20, 2023",788.81,794.81,788.67,792.75,792.75,"118,291,100"
28,"Apr 19, 2023",794.11,794.62,790.36,792.29,792.29,"97,659,000"
29,"Apr 18, 2023",790.44,793.36,787.87,792.68,792.68,"96,598,700"
30,"Apr 17, 2023",787.67,790.14,785.82,790.10,790.10,"100,012,700"
31,"Apr 14, 2023",788.35,791.42,783.26,785.47,785.47,"100,713,800"
32,"Apr 13, 2023",786.56,790.64,782.77,790.06,790.06,"112,266,900"
33,"Apr 12, 2023",788.74,791.90,784.83,785.70,785.70,"115,804,400"
34,"Apr 11, 2023",788.44,791.45,788.16,789.24,789.24,"110,612,000"
35,"Apr 10, 2023",784.46,787.36,780.04,787.34,787.34,"100,824,500"
36,"Apr 06, 2023",784.89,788.89,782.72,787.45,787.45,"119,058,000"
37,"Apr 05, 2023",785.28,789.72,785.28,786.82,786.82,"148,120,500"
38,"Apr 04, 2023",784.63,787.22,781.03,782.48,782.48,"124,072,600"
39,"Apr 03, 2023",781.06,785.93,778.24,784.39,784.39,"134,802,900"
40,"Mar 31, 2023",777.72,780.43,776.75,780.38,780.38,"140,006,300"
41,"Mar 30, 2023",774.22,775.99,771.47,773.93,773.93,"114,300,800"
42,"Mar 29, 2023",771.44,771.74,769.34,771.29,771.29,"115,660,000"
43,"Mar 28, 2023",766.20,771.20,766.01,767.18,767.18,"120,808,600"
44,"Mar 27, 2023",764.80,768.98,764.80,765.48,765.48,"131,509,700"
45,"Mar 24, 2023",750.92,761.96,750.65,761.34,761.34,"131,464,800"
