Date,Open,High,Low,Close,Adj Close,Volume
2022-06-02,85.489998,86.900002,85.019997,86.839996,84.711449,1168000
2022-06-03,86.019997,86.300003,85.500000,85.610001,83.511597,583600
2022-06-06,86.389999,87.120003,85.870003,85.910004,83.804253,365300
2022-06-07,85.300003,86.620003,85.209999,86.570000,84.448067,325300
2022-06-08,85.820000,86.120003,84.709999,85.059998,82.975090,531400
2022-06-09,84.809998,84.919998,82.889999,82.910004,80.877777,434900
2022-06-10,81.099998,81.400002,79.849998,79.930000,77.970825,2207100
2022-06-13,77.860001,78.650002,76.860001,77.309998,75.415047,1358800
2022-06-14,77.589996,78.190002,76.209999,76.820000,74.937050,1330500
2022-06-15,77.680000,78.730003,76.400002,77.639999,75.736961,1124600
2022-06-16,76.019997,76.099998,74.849998,75.419998,73.571373,2577200
2022-06-17,75.629997,76.639999,75.050003,75.849998,73.990829,1406700
2022-06-21,77.449997,77.750000,76.970001,77.320000,75.424805,653500
2022-06-22,76.400002,77.830002,76.250000,77.209999,75.317490,522100
2022-06-23,76.959999,76.989998,75.389999,76.580002,75.104675,515100
2022-06-24,76.889999,79.449997,76.889999,79.410004,77.880157,450900
2022-06-27,79.830002,79.949997,78.769997,79.169998,77.644783,399900
2022-06-28,79.910004,80.660004,78.339996,78.419998,76.909225,527800
2022-06-29,78.440002,78.639999,77.510002,77.790001,76.291359,397500
2022-06-30,76.620003,77.849998,75.660004,77.190002,75.702927,863100
2022-07-01,76.970001,78.449997,76.400002,78.239998,76.732697,400200
2022-07-05,77.040001,78.150002,76.089996,78.150002,76.644432,990900
2022-07-06,77.940002,78.379997,77.110001,77.800003,76.301170,568700
2022-07-07,78.410004,79.160004,78.410004,78.980003,77.458443,1969100
2022-07-08,79.089996,79.309998,78.349998,78.750000,77.232864,455400
2022-07-11,78.129997,78.519997,77.800003,78.029999,76.526741,469400
2022-07-12,77.580002,78.970001,77.389999,77.610001,76.114830,683600
2022-07-13,76.849998,77.260002,75.930000,76.779999,75.300819,718600
2022-07-14,75.400002,75.550003,74.550003,75.349998,73.898369,1056100
2022-07-15,76.370003,78.260002,76.160004,77.870003,76.369827,834900
2022-07-18,78.779999,79.470001,77.349998,77.589996,76.095222,668000
2022-07-19,78.550003,80.260002,78.550003,79.989998,78.448975,497700
2022-07-20,79.940002,80.589996,79.660004,80.500000,78.949158,331600
2022-07-21,80.209999,80.949997,79.580002,80.949997,79.390480,296400
2022-07-22,80.989998,81.480003,79.830002,80.360001,78.811859,497100
2022-07-25,80.830002,81.279999,80.389999,80.910004,79.351265,325700
2022-07-26,80.480003,80.930000,79.699997,79.860001,78.321487,242300
2022-07-27,80.250000,81.570000,80.050003,81.129997,79.567017,455200
2022-07-28,81.139999,81.849998,80.080002,81.790001,80.214310,320300
2022-07-29,81.900002,83.199997,81.900002,82.940002,81.342155,358500
2022-08-01,82.300003,82.720001,81.739998,82.379997,80.792938,252300
2022-08-02,81.940002,82.440002,81.330002,81.400002,79.831818,244100
2022-08-03,82.000000,82.870003,81.660004,82.650002,81.057739,361700
2022-08-04,82.570000,82.790001,82.279999,82.379997,80.792938,274500
2022-08-05,82.040001,83.300003,81.870003,83.000000,81.400993,298500
2022-08-08,83.489998,83.879997,82.970001,82.970001,81.371567,287900
2022-08-09,83.120003,83.449997,82.830002,83.339996,81.734436,299700
2022-08-10,84.559998,85.559998,84.559998,85.330002,83.686104,368100
2022-08-11,86.160004,86.790001,85.970001,86.250000,84.588371,231800
2022-08-12,86.699997,87.639999,86.330002,87.599998,85.912369,527600
2022-08-15,86.809998,87.839996,86.650002,87.680000,85.990829,225000
2022-08-16,87.379997,88.610001,87.379997,88.209999,86.510628,483100
2022-08-17,87.320000,88.070000,87.120003,87.720001,86.030067,354100
2022-08-18,87.709999,87.970001,87.279999,87.849998,86.157547,237300
2022-08-19,87.239998,87.239998,85.849998,86.089996,84.431458,329200
2022-08-22,84.930000,84.930000,84.010002,84.209999,82.587677,313700
2022-08-23,84.260002,84.760002,83.900002,83.930000,82.313072,272700
2022-08-24,83.889999,84.570000,83.639999,84.260002,82.636726,240100
2022-08-25,84.550003,85.610001,84.290001,85.580002,83.931290,291100
2022-08-26,85.860001,85.989998,83.000000,83.010002,81.410805,314500
2022-08-29,82.449997,82.930000,81.919998,82.320000,80.734093,419900
2022-08-30,82.669998,82.680000,81.410004,81.930000,80.351601,279900
2022-08-31,82.260002,82.580002,81.239998,81.330002,79.763168,496700
2022-09-01,81.019997,81.540001,79.980003,81.459999,79.890663,438600
2022-09-02,82.300003,83.000000,80.459999,80.839996,79.282600,331000
2022-09-06,81.239998,81.400002,79.830002,80.589996,79.037422,394900
2022-09-07,80.330002,82.269997,80.199997,82.199997,80.616402,506400
2022-09-08,81.669998,83.599998,81.440002,83.540001,81.930588,368400
2022-09-09,84.029999,84.620003,83.970001,84.400002,82.774025,678200
2022-09-12,84.760002,85.610001,84.690002,85.160004,83.519386,257200
2022-09-13,83.470001,83.730003,81.750000,81.989998,80.410454,513100
2022-09-14,82.260002,82.510002,81.139999,81.930000,80.351601,339700
2022-09-15,81.809998,83.180000,81.750000,82.180000,80.596794,342900
2022-09-16,81.220001,81.500000,80.540001,81.389999,79.822006,583300
2022-09-19,80.559998,82.400002,80.500000,82.330002,80.743896,350100
2022-09-20,81.720001,81.830002,80.449997,81.169998,79.606247,723000
2022-09-21,81.540001,82.000000,79.559998,79.589996,78.056679,366700
2022-09-22,79.680000,79.830002,77.959999,78.110001,76.605194,774700
2022-09-23,77.199997,77.389999,75.680000,76.769997,75.291008,739900
2022-09-26,76.190002,76.930000,75.040001,75.489998,74.035675,1353000
2022-09-27,76.230003,76.550003,74.440002,75.160004,73.712036,2257400
2022-09-28,74.879997,76.620003,74.750000,76.169998,75.173660,991600
2022-09-29,75.339996,75.430000,74.220001,75.139999,74.157135,631300
2022-09-30,75.120003,76.110001,74.290001,74.440002,73.466286,625100
2022-10-03,75.230003,76.820000,74.300003,76.410004,75.410522,919900
2022-10-04,77.650002,79.570000,77.650002,79.529999,78.489708,1585500
2022-10-05,78.300003,79.209999,77.959999,78.900002,77.867950,425100
2022-10-06,78.389999,78.989998,77.709999,77.900002,76.881027,1154200
2022-10-07,77.150002,77.360001,75.580002,75.970001,74.976280,480100
2022-10-10,76.309998,76.629997,75.250000,75.690002,74.699944,1012700
2022-10-11,75.220001,76.040001,74.480003,74.839996,73.861053,1031400
2022-10-12,74.830002,75.559998,74.400002,74.699997,73.722885,1717800
2022-10-13,73.330002,77.889999,72.959999,77.629997,76.614555,3522500
2022-10-14,78.330002,79.279999,76.209999,76.389999,75.390778,429500
2022-10-17,77.959999,78.709999,77.820000,78.230003,77.206718,675900
2022-10-18,80.059998,80.379997,78.589996,79.430000,78.391022,846200
2022-10-19,78.739998,79.269997,77.639999,78.150002,77.127762,432200
2022-10-20,77.919998,78.699997,76.500000,76.750000,75.746071,452000
2022-10-21,76.750000,78.889999,76.430000,78.800003,77.769264,309900
2022-10-24,79.230003,80.169998,79.040001,79.839996,78.795654,358900
2022-10-25,79.449997,81.110001,79.360001,80.940002,79.881271,310200
2022-10-26,81.120003,82.089996,81.070000,81.150002,80.088524,292100
2022-10-27,81.879997,82.769997,81.750000,81.830002,80.759628,338000
2022-10-28,82.050003,84.000000,82.000000,83.940002,82.842033,482400
2022-10-31,83.500000,84.000000,83.320000,83.480003,82.388046,537100
2022-11-01,84.160004,84.389999,83.440002,83.830002,82.733467,429000
2022-11-02,83.669998,85.050003,82.599998,82.680000,81.598511,465800
2022-11-03,81.769997,82.440002,81.180000,81.779999,80.710274,267800
2022-11-04,82.889999,83.790001,82.239998,83.440002,82.348572,395000
2022-11-07,84.010002,84.279999,83.459999,84.239998,83.138100,860900
2022-11-08,84.349998,85.099998,83.750000,84.540001,83.434181,464200
2022-11-09,84.070000,84.339996,82.919998,83.070000,81.983406,322300
2022-11-10,85.599998,87.529999,85.599998,87.410004,86.266640,591500
2022-11-11,87.809998,88.470001,87.419998,87.959999,86.809441,675100
2022-11-14,87.500000,87.680000,86.470001,86.489998,85.358665,831500
2022-11-15,87.459999,87.839996,85.970001,86.720001,85.585663,1069300
2022-11-16,86.599998,86.779999,85.940002,86.129997,85.003372,475900
2022-11-17,85.110001,87.300003,84.830002,85.580002,84.460571,819900
2022-11-18,86.739998,86.959999,85.529999,86.180000,85.052719,864500
2022-11-21,85.940002,86.589996,85.940002,86.449997,85.319191,321900
2022-11-22,86.870003,87.400002,86.860001,87.360001,86.217293,217800
2022-11-23,87.220001,87.870003,87.220001,87.660004,86.513367,220500
2022-11-25,87.660004,88.129997,87.620003,88.050003,86.898270,135200
2022-11-28,87.400002,87.820000,86.320000,86.449997,85.319191,340200
2022-11-29,86.489998,87.220001,86.300003,87.050003,85.911346,1234100
2022-11-30,87.000000,88.599998,85.660004,88.599998,87.441071,481100
2022-12-01,88.720001,88.830002,87.339996,87.959999,86.809441,303200
2022-12-02,86.970001,87.760002,86.879997,87.639999,86.493629,241700
2022-12-05,87.059998,87.089996,84.820000,85.209999,84.095413,723800
2022-12-06,85.169998,85.589996,83.860001,84.489998,83.384834,526900
2022-12-07,84.169998,85.029999,84.010002,84.139999,83.039406,363600
2022-12-08,84.419998,84.820000,83.970001,84.250000,83.147972,1178300
2022-12-09,83.910004,84.570000,83.910004,83.949997,82.851891,337700
2022-12-12,84.059998,85.120003,83.610001,85.010002,83.898026,319400
2022-12-13,87.070000,87.199997,84.580002,85.190002,84.075676,424200
2022-12-14,85.029999,85.639999,83.720001,84.070000,82.970322,1090100
2022-12-15,82.309998,82.430000,81.309998,81.830002,81.356712,574000
2022-12-16,80.949997,81.389999,80.400002,81.080002,80.611053,372000
2022-12-19,81.120003,81.669998,80.370003,80.860001,80.392326,506200
2022-12-20,81.099998,81.730003,80.919998,81.209999,80.740295,641000
2022-12-21,81.910004,82.779999,81.910004,82.589996,82.112312,338300
2022-12-22,82.040001,82.040001,80.510002,81.779999,81.306999,373000
2022-12-23,81.720001,82.400002,81.410004,82.330002,81.853821,379100
2022-12-27,82.370003,82.639999,81.910004,82.239998,81.764336,632800
2022-12-28,82.279999,82.519997,81.720001,81.720001,81.247353,333000
2022-12-29,82.180000,83.160004,82.070000,83.019997,82.539825,432200
2022-12-30,82.419998,82.919998,82.070000,82.730003,82.251511,360700
2023-01-03,83.320000,83.910004,82.370003,82.989998,82.510002,294500
2023-01-04,83.730003,84.830002,83.650002,84.239998,83.752769,381500
2023-01-05,83.849998,83.849998,83.120003,83.529999,83.046875,259200
2023-01-06,84.110001,85.739998,83.660004,85.550003,85.055199,278400
2023-01-09,85.849998,86.300003,85.070000,85.239998,84.746986,466300
2023-01-10,85.129997,85.900002,84.959999,85.900002,85.403175,276300
2023-01-11,86.080002,86.680000,86.000000,86.639999,86.138893,784900
2023-01-12,87.000000,87.510002,86.339996,87.080002,86.576347,395400
2023-01-13,86.000000,87.839996,85.730003,87.650002,87.143051,545800
2023-01-17,87.449997,87.650002,86.940002,87.120003,86.616119,380300
2023-01-18,86.830002,87.230003,85.470001,85.489998,84.995544,771400
2023-01-19,84.540001,84.910004,83.959999,84.510002,84.021210,1329200
2023-01-20,84.870003,86.019997,84.510002,85.980003,85.482712,285800
2023-01-23,86.029999,87.349998,85.930000,87.050003,86.546524,325300
2023-01-24,86.820000,87.320000,85.930000,86.959999,86.457039,236400
2023-01-25,86.150002,87.589996,86.150002,87.550003,87.043633,317300
2023-01-26,87.870003,88.250000,87.360001,88.129997,87.620270,355000
2023-01-27,88.300003,88.820000,88.059998,88.320000,87.809174,180600
2023-01-30,87.870003,88.519997,87.779999,87.849998,87.341888,306100
2023-01-31,87.980003,89.220001,87.720001,89.209999,88.694023,301500
2023-02-01,88.529999,90.230003,88.239998,89.489998,88.972404,296400
2023-02-02,90.000000,90.250000,89.190002,89.809998,89.290558,288200
2023-02-03,89.089996,90.550003,89.089996,89.809998,89.290558,295200
2023-02-06,89.250000,89.610001,88.949997,89.519997,89.002228,173500
2023-02-07,89.099998,90.870003,89.070000,90.639999,90.115753,220800
2023-02-08,89.989998,90.790001,89.940002,90.110001,89.588821,165500
2023-02-09,90.410004,90.639999,88.669998,88.860001,88.346054,266100
2023-02-10,88.480003,89.239998,88.169998,89.120003,88.604553,168300
2023-02-13,89.099998,90.190002,89.000000,90.190002,89.668365,664900
2023-02-14,89.970001,90.629997,89.199997,89.680000,89.161308,666800
2023-02-15,89.110001,90.000000,89.000000,89.959999,89.439690,431600
2023-02-16,89.320000,89.779999,88.940002,89.050003,88.534958,209400
2023-02-17,88.639999,89.230003,88.379997,89.120003,88.604553,234700
2023-02-21,88.250000,88.480003,86.879997,87.230003,86.725479,391300
2023-02-22,87.190002,87.559998,86.699997,87.089996,86.586288,217100
2023-02-23,87.489998,87.910004,86.449997,87.279999,86.775192,165900
2023-02-24,86.459999,87.410004,86.260002,87.260002,86.755310,204600
2023-02-27,87.849998,88.190002,87.029999,87.180000,86.675766,205800
2023-02-28,87.220001,87.849998,87.139999,87.360001,86.854729,299000
2023-03-01,86.930000,87.440002,86.720001,87.019997,86.516693,191700
2023-03-02,86.480003,86.650002,85.599998,86.510002,86.009644,305400
2023-03-03,86.879997,87.849998,86.639999,87.849998,87.341888,244800
2023-03-06,87.879997,88.400002,87.529999,87.680000,87.172874,267100
2023-03-07,87.550003,87.550003,85.389999,85.599998,85.104904,206600
2023-03-08,85.570000,85.930000,84.849998,85.250000,84.756935,438900
2023-03-09,84.760002,84.900002,81.330002,81.680000,81.207581,562100
2023-03-10,80.760002,81.790001,78.790001,79.660004,79.199265,2347000
2023-03-13,76.870003,78.120003,74.879997,76.290001,75.848755,3028400
2023-03-14,79.419998,79.629997,77.230003,78.089996,77.638336,735400
2023-03-15,75.730003,76.269997,74.959999,76.070000,75.630028,1256400
2023-03-16,75.639999,78.470001,74.790001,77.589996,77.141235,899600
2023-03-17,76.919998,76.919998,74.849998,74.989998,74.556274,892500
2023-03-20,75.870003,76.769997,75.559998,75.949997,75.510719,872900
2023-03-21,77.879997,78.449997,77.870003,78.260002,77.807365,998500
2023-03-22,78.260002,78.300003,76.000000,76.000000,75.560432,515500
2023-03-23,76.470001,76.820000,74.709999,75.209999,74.775002,678000
2023-03-24,73.779999,74.949997,73.250000,74.949997,74.949997,1007700
2023-03-27,76.330002,76.570000,75.599998,76.129997,76.129997,628400
2023-03-28,76.019997,76.440002,75.620003,76.169998,76.169998,358000
2023-03-29,77.000000,77.290001,76.620003,77.290001,77.290001,652600
2023-03-30,77.879997,77.930000,76.570000,77.010002,77.010002,466500
2023-03-31,77.430000,77.930000,77.070000,77.889999,77.889999,360200
2023-04-03,77.849998,78.320000,77.400002,77.750000,77.750000,411800
2023-04-04,77.910004,78.099998,76.230003,76.800003,76.800003,481800
2023-04-05,76.260002,76.889999,76.169998,76.709999,76.709999,431600
2023-04-06,76.629997,77.290001,76.629997,77.050003,77.050003,375000
2023-04-10,76.820000,77.389999,76.669998,77.360001,77.360001,346700
2023-04-11,77.580002,78.419998,77.470001,78.040001,78.040001,2832100
2023-04-12,78.410004,78.750000,77.589996,77.860001,77.860001,386900
2023-04-13,77.910004,78.470001,77.290001,78.320000,78.320000,1828100
2023-04-14,79.239998,79.769997,78.589996,78.980003,78.980003,449900
2023-04-17,78.879997,80.120003,78.389999,80.120003,80.120003,380900
2023-04-18,80.330002,80.489998,79.699997,80.349998,80.349998,331600
2023-04-19,80.129997,81.129997,80.129997,80.930000,80.930000,313600
2023-04-20,80.250000,80.760002,80.160004,80.419998,80.419998,955100
2023-04-21,80.160004,80.160004,79.440002,79.940002,79.940002,374600
2023-04-24,79.860001,80.150002,79.559998,79.750000,79.750000,255100
