,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 30, 2023",210.92,212.64,209.39,210.77,210.77,"290,422,500"
1,"May 26, 2023",207.37,211.14,206.53,210.92,210.92,"307,898,400"
2,"May 25, 2023",206.48,209.82,206.39,207.37,207.37,"399,977,700"
3,"May 24, 2023",207.14,207.45,205.20,206.48,206.48,"253,331,100"
4,"May 23, 2023",210.85,210.90,207.73,207.73,207.73,"272,091,700"
5,"May 22, 2023",208.37,212.50,208.37,210.85,210.85,"263,667,000"
6,"May 19, 2023",209.44,211.69,207.61,208.41,208.41,"270,577,000"
7,"May 18, 2023",205.76,209.72,205.76,209.44,209.44,"296,537,700"
8,"May 17, 2023",203.36,206.72,203.08,205.76,205.76,"240,546,600"
9,"May 16, 2023",202.16,204.40,201.37,203.36,203.36,"259,693,800"
10,"May 15, 2023",202.22,203.36,201.60,202.16,202.16,"253,137,200"
11,"May 12, 2023",201.84,202.71,201.00,202.22,202.22,"261,151,000"
12,"May 11, 2023",200.05,203.18,199.39,201.84,201.84,"369,363,900"
13,"May 10, 2023",195.26,199.39,194.78,198.56,198.56,"315,425,700"
14,"May 09, 2023",196.28,197.60,195.07,195.26,195.26,"248,367,100"
15,"May 08, 2023",193.81,196.63,193.44,196.28,196.28,"221,504,800"
16,"May 05, 2023",191.90,194.24,191.17,193.81,193.81,"294,053,800"
17,"May 04, 2023",194.34,194.34,191.65,191.90,191.90,"301,304,200"
18,"May 03, 2023",194.67,197.26,194.12,194.34,194.34,"234,571,000"
19,"May 02, 2023",198.20,198.20,193.29,194.67,194.67,"243,498,200"
20,"May 01, 2023",198.35,199.13,196.98,198.20,198.20,"225,739,000"
21,"Apr 28, 2023",197.28,198.37,195.46,198.35,198.35,"280,041,100"
22,"Apr 27, 2023",186.95,198.03,186.95,197.28,197.28,"357,683,200"
23,"Apr 26, 2023",188.12,190.37,186.69,186.95,186.95,"336,059,700"
24,"Apr 25, 2023",191.14,191.14,188.10,188.12,188.12,"272,478,600"
25,"Apr 24, 2023",191.16,192.32,190.05,191.14,191.14,"240,712,300"
26,"Apr 21, 2023",190.55,191.44,189.63,191.16,191.16,"266,203,700"
27,"Apr 20, 2023",192.02,192.36,189.83,190.55,190.55,"325,266,100"
28,"Apr 19, 2023",193.42,193.42,190.87,192.02,192.02,"214,392,900"
29,"Apr 18, 2023",194.68,195.66,193.13,193.42,193.42,"200,439,700"
30,"Apr 17, 2023",197.18,197.18,193.20,194.68,194.68,"205,357,100"
31,"Apr 14, 2023",196.57,197.25,195.02,197.18,197.18,"193,299,700"
32,"Apr 13, 2023",192.09,196.61,192.09,196.57,196.57,"223,692,900"
33,"Apr 12, 2023",193.82,195.78,191.89,192.09,192.09,"217,486,700"
34,"Apr 11, 2023",194.65,195.52,193.60,193.82,193.82,"195,749,200"
35,"Apr 10, 2023",196.00,196.00,192.67,194.65,194.65,"180,904,700"
36,"Apr 06, 2023",192.71,196.69,191.28,196.00,196.00,"266,772,200"
37,"Apr 05, 2023",193.13,194.06,191.45,192.71,192.71,"231,570,000"
38,"Apr 04, 2023",192.54,193.86,191.91,193.13,193.13,"226,819,200"
39,"Apr 03, 2023",191.53,192.69,189.67,192.54,192.54,"215,389,700"
40,"Mar 31, 2023",187.63,191.67,187.63,191.53,191.53,"236,665,800"
41,"Mar 30, 2023",187.03,187.82,186.43,187.63,187.63,"202,529,000"
42,"Mar 29, 2023",184.84,187.22,184.84,187.03,187.03,"194,670,200"
43,"Mar 28, 2023",186.74,186.74,183.74,184.84,184.84,"199,783,600"
44,"Mar 27, 2023",188.77,188.99,185.96,186.74,186.74,"207,011,200"
45,"Mar 24, 2023",188.27,188.96,186.53,188.77,188.77,"260,744,800"
46,"Mar 23, 2023",184.88,189.85,184.88,188.27,188.27,"254,018,800"
47,"Mar 22, 2023",187.93,190.40,184.85,184.88,184.88,"232,919,600"
48,"Mar 21, 2023",183.44,188.25,183.44,187.93,187.93,"248,403,300"
49,"Mar 20, 2023",182.56,184.05,181.49,183.44,183.44,"226,368,900"
50,"Mar 17, 2023",183.43,184.79,181.54,182.56,182.56,"797,624,500"
51,"Mar 16, 2023",178.48,183.66,177.60,183.43,183.43,"386,277,100"
52,"Mar 15, 2023",175.84,179.03,173.60,178.48,178.48,"339,593,200"
53,"Mar 14, 2023",171.13,176.09,171.13,175.84,175.84,"316,167,800"
54,"Mar 13, 2023",170.71,173.38,168.18,171.13,171.13,"336,735,300"
